TID,Sex,Price,Category,Color,Size,Brand,Material,Origin,Sales_channel,Season
72,female,2,11,4,1,4,2,1,4,0
73,female,14,1,2,1,7,7,6,0,1
74,female,1,6,7,6,7,0,4,1,0
75,female,7,10,0,2,5,5,3,4,3
76,male,18,7,8,1,3,2,3,1,3
77,female,9,8,0,7,2,0,1,1,3
78,female,14,6,4,6,0,9,1,1,0
79,male,1,11,4,7,6,0,4,1,3
80,female,6,3,3,6,0,5,4,1,3
81,female,3,0,3,7,0,3,1,0,3
82,female,11,4,1,0,3,6,2,1,0
83,male,16,11,0,1,5,2,6,1,3
84,male,8,8,8,7,3,9,1,4,0
85,male,9,5,7,1,4,4,3,4,1
86,female,6,0,6,5,4,1,5,1,2
87,female,17,10,7,5,2,3,5,1,2
88,female,19,10,3,4,4,7,6,1,0
89,male,13,11,6,4,4,8,0,2,2
90,male,17,7,4,2,0,5,1,1,3
91,male,6,2,2,0,3,9,6,3,0
92,male,0,9,1,7,1,0,0,3,2
93,female,0,3,3,5,0,2,3,0,2
94,male,0,3,3,5,4,5,6,0,3
95,female,7,4,0,6,6,9,3,0,3
96,female,6,7,9,1,0,0,6,4,1
97,female,18,7,2,5,0,0,4,3,0
98,female,0,8,3,1,6,8,1,3,1
99,female,18,2,1,7,5,5,0,3,0
100,female,15,1,4,3,7,0,0,3,3
101,male,18,8,4,1,1,7,4,0,2
102,male,17,4,0,0,4,0,6,0,0
103,female,7,3,9,0,6,7,6,2,2
104,male,15,5,2,7,4,6,2,3,0
105,female,3,9,1,7,3,5,1,4,3
106,male,14,7,6,7,4,0,0,0,1
107,female,3,8,1,3,6,1,5,0,3
108,male,15,11,5,1,0,9,6,3,3
109,male,19,9,3,7,7,6,6,1,1
110,male,8,11,6,7,3,9,2,1,1
111,female,4,0,4,0,5,2,6,3,0
112,female,0,11,3,1,1,9,3,1,3
113,female,7,1,2,7,0,0,2,0,0
114,female,19,7,3,3,4,1,4,0,0
115,male,15,11,1,3,5,2,1,3,2
116,male,15,1,3,0,6,1,4,1,1
117,female,14,7,3,6,2,3,2,0,0
118,male,13,6,9,0,0,4,6,0,1
119,female,7,7,6,5,1,0,0,0,0
120,male,7,6,7,7,2,1,4,1,3
121,male,9,11,3,2,5,5,0,3,0
122,male,10,3,7,1,5,1,0,1,1
123,male,19,0,7,2,5,0,4,0,1
124,male,4,0,3,4,2,3,3,1,3
125,female,6,9,8,0,4,1,6,4,2
126,male,13,5,1,3,2,1,4,1,2
127,male,19,5,9,5,4,4,5,1,3
128,male,10,9,3,3,6,7,6,4,1
129,male,9,5,9,1,7,9,2,3,3
130,male,8,11,9,7,2,0,4,3,3
131,female,11,1,7,3,2,0,6,2,1
132,female,10,4,3,4,1,3,6,2,3
133,male,1,3,9,6,6,8,1,3,0
134,male,19,11,5,1,6,5,6,3,3
135,male,9,9,0,7,5,0,0,2,0
136,male,11,2,4,7,2,2,4,2,0
137,male,15,6,2,1,5,0,1,1,1
138,female,13,5,0,3,5,7,4,0,2
139,female,16,10,0,1,4,4,6,3,0
140,male,0,2,6,4,1,4,5,3,3
141,male,11,1,1,2,4,0,6,0,2
142,male,8,4,3,0,7,1,0,3,1
143,female,17,2,7,6,1,8,3,0,1
144,female,6,3,4,3,4,2,2,1,3
145,female,19,3,2,0,1,5,3,4,1
146,female,7,7,6,5,5,4,3,3,1
147,male,1,3,8,0,3,3,1,3,3
148,male,15,8,8,3,3,6,6,0,3
149,female,0,8,4,0,7,9,1,2,3
150,female,5,10,8,2,6,1,1,1,1
151,female,3,1,4,6,6,6,2,4,2
152,male,14,4,3,5,7,8,1,4,2
153,male,17,8,5,3,6,4,6,1,2
154,male,14,1,4,4,5,4,0,0,0
155,male,17,8,3,4,6,2,4,3,1
156,female,12,2,7,0,4,8,2,0,2
157,female,14,0,7,7,4,1,0,2,0
158,male,9,7,1,7,3,4,5,0,1
159,female,18,9,3,6,1,4,4,2,1
160,female,6,2,4,6,6,5,2,4,2
161,male,2,3,9,6,6,8,0,3,2
162,female,15,3,3,5,5,1,5,0,3
163,female,16,8,7,6,6,2,2,1,0
164,female,10,3,7,2,6,7,0,0,3
165,male,16,7,6,5,3,6,0,2,3
166,female,6,8,7,5,3,2,4,2,0
167,female,2,10,5,1,7,8,4,2,3
168,female,19,7,3,2,0,1,0,2,3
169,female,13,8,9,4,6,3,4,3,1
170,male,1,6,2,3,6,3,2,0,3
171,male,8,5,2,5,7,4,6,3,1
172,female,10,2,6,2,5,0,2,4,3
173,male,13,3,8,0,6,0,6,1,3
174,female,17,2,5,7,1,4,0,0,0
175,female,5,9,7,0,2,4,2,4,2
176,female,0,3,7,2,1,3,1,2,2
177,female,5,11,3,6,6,5,0,3,2
178,female,10,10,1,5,7,7,5,0,1
179,female,4,2,8,1,3,1,3,2,2
180,female,13,8,0,3,2,8,3,4,1
181,male,3,7,0,7,4,8,1,1,2
182,female,13,9,8,2,3,3,3,3,2
183,male,14,5,5,3,3,5,1,3,0
184,female,19,0,3,0,7,2,3,0,3
185,male,8,10,2,3,3,8,6,2,0
186,female,5,3,5,6,0,9,1,3,1
187,female,7,10,6,1,4,9,1,4,1
188,male,14,6,9,7,2,1,4,2,0
189,male,14,11,8,3,6,7,4,1,0
190,male,4,7,3,7,0,9,5,1,3
191,male,8,2,4,0,7,9,6,4,2
192,male,13,1,8,6,5,6,0,3,3
193,female,3,11,4,1,2,9,6,3,1
194,male,3,0,0,0,4,3,3,3,1
195,male,12,8,2,1,6,1,2,3,1
196,male,3,3,1,2,7,0,1,2,3
197,male,16,7,6,4,3,1,0,4,0
198,female,6,10,6,3,0,1,0,0,3
199,female,14,7,4,4,0,5,1,4,0
200,female,17,6,7,0,6,5,0,4,3
201,male,5,6,8,0,7,3,3,1,1
202,female,17,4,7,4,7,6,0,2,0
203,male,18,6,0,1,0,6,4,2,1
204,male,7,3,4,4,0,3,6,3,1
205,male,9,4,7,3,0,3,4,4,0
206,male,18,6,0,2,2,2,1,4,1
207,female,4,7,2,1,5,0,0,1,1
208,female,19,0,3,2,4,4,6,0,2
209,male,11,0,2,4,5,3,1,1,1
210,male,1,6,7,4,4,7,0,4,1
211,female,15,3,4,4,1,3,6,2,2
212,male,19,5,2,1,5,2,6,4,1
213,female,13,8,2,5,7,1,2,0,1
214,male,2,11,2,6,1,2,6,0,2
215,male,3,0,4,7,5,7,3,3,1
216,female,2,7,3,4,5,6,0,2,1
217,female,9,6,8,6,3,5,3,3,2
218,male,18,11,5,2,0,4,5,2,2
219,female,2,3,8,3,4,9,4,3,3
220,male,11,9,4,5,4,7,3,2,2
221,female,14,11,7,0,6,0,5,2,1
222,female,15,10,1,2,2,7,5,0,3
223,male,2,4,1,3,3,8,6,1,1
224,female,7,5,5,7,4,2,1,2,3
225,male,7,5,0,4,0,7,0,0,1
226,female,10,0,6,4,3,5,4,0,0
227,female,9,8,9,0,5,0,5,3,0
228,female,17,7,0,0,7,6,3,2,0
229,male,11,4,8,6,1,1,1,0,1
230,male,8,4,2,6,2,2,4,1,1
231,female,18,8,1,0,3,2,6,3,1
232,female,17,3,9,1,5,9,1,2,1
233,female,10,11,7,0,5,2,3,3,3
234,female,4,7,0,7,5,0,3,1,1
235,male,9,11,9,3,0,7,0,3,3
236,male,1,3,2,6,3,3,5,3,1
237,female,6,0,1,1,0,9,6,1,2
238,male,2,10,2,7,7,7,2,3,2
239,male,16,0,1,4,1,2,5,0,0
240,male,18,0,6,2,5,3,5,2,2
241,female,12,4,6,7,1,0,0,0,0
242,male,0,2,0,3,1,3,3,2,1
243,male,4,0,0,5,0,5,4,1,2
244,male,5,10,1,7,0,4,6,0,0
245,female,14,8,4,4,5,1,2,0,3
246,female,11,5,0,4,0,6,3,1,1
247,female,0,8,7,3,6,5,5,4,0
248,male,13,3,6,0,7,6,6,4,0
249,female,1,7,7,1,4,8,6,0,2
250,female,9,10,4,3,4,9,5,3,3
251,male,1,11,1,1,5,7,4,3,0
252,female,10,10,7,2,7,0,2,2,1
253,male,9,5,8,7,7,8,1,2,1
254,female,10,0,1,3,1,8,6,0,0
255,female,8,3,4,5,5,3,5,2,3
256,female,9,2,3,2,3,8,0,2,2
257,male,18,5,2,4,6,0,2,0,0
258,male,2,1,8,2,5,9,4,4,0
259,male,7,9,5,0,0,2,6,1,0
260,female,2,8,1,6,6,4,4,1,1
261,male,4,3,9,6,3,2,6,2,0
262,female,7,6,1,4,4,8,3,0,2
263,male,0,11,7,5,7,7,5,0,0
264,female,19,0,9,1,3,9,3,1,2
265,male,4,10,0,2,3,4,1,1,2
266,female,2,8,1,3,0,8,4,2,3
267,female,13,8,4,2,1,3,1,2,3
268,female,10,11,5,6,0,4,5,2,3
269,male,15,3,1,1,4,2,0,1,3
270,female,6,8,4,0,0,8,2,4,1
271,male,18,5,8,6,7,9,6,4,3
272,male,7,7,8,6,2,9,0,4,1
273,male,16,7,0,7,5,9,4,3,1
274,male,3,6,9,3,4,4,2,4,0
275,female,1,11,8,3,1,5,2,3,0
276,female,5,2,7,5,7,0,3,0,1
277,female,5,3,8,7,1,8,6,3,0
278,female,6,8,2,1,3,1,3,2,3
279,female,4,2,8,5,4,0,6,1,1
280,female,3,9,5,2,2,1,1,1,2
281,male,0,9,7,5,6,7,0,0,1
282,male,17,5,1,2,7,8,5,2,1
283,male,17,10,2,3,5,4,4,3,0
284,male,8,0,1,5,5,7,0,4,3
285,male,7,9,6,7,2,6,5,3,1
286,male,3,5,6,2,0,8,1,3,3
287,female,0,11,6,3,2,6,5,0,0
288,male,0,1,1,7,1,4,0,0,2
289,female,5,8,0,1,5,5,3,2,1
290,female,1,5,4,4,5,8,0,2,1
291,male,11,8,9,6,3,2,5,4,1
292,male,19,11,5,6,2,0,6,1,2
293,female,13,10,5,2,0,1,1,3,0
294,female,16,9,1,7,3,4,6,1,1
295,male,13,5,8,2,5,9,0,2,0
296,female,2,10,8,5,2,8,0,2,0
297,female,13,1,6,7,0,4,5,4,1
298,male,0,3,9,7,4,9,6,1,0
299,male,5,6,8,1,2,8,1,3,3
300,male,10,6,0,2,6,2,0,2,2
301,female,11,7,1,4,6,2,6,2,1
302,female,12,0,4,3,0,3,5,2,0
303,female,2,1,1,2,1,8,2,4,3
304,male,11,0,8,7,4,9,2,0,1
305,female,12,0,7,7,7,2,1,0,2
306,female,13,4,0,1,3,6,4,1,3
307,male,6,4,8,6,3,5,5,4,0
308,male,11,8,5,1,0,5,6,4,0
309,male,19,1,6,7,5,8,4,0,0
310,male,4,10,6,7,3,7,3,0,0
311,female,13,8,3,0,2,3,0,3,1
312,female,1,4,8,5,3,7,2,1,0
313,male,6,8,0,6,5,6,2,3,1
314,male,17,0,6,1,3,8,1,4,0
315,male,4,7,2,7,0,2,4,4,3
316,male,4,3,8,7,5,5,2,1,2
317,male,11,8,3,7,2,6,5,0,0
318,male,18,5,9,5,4,9,6,0,1
319,female,11,0,5,6,0,8,6,2,3
320,male,2,4,9,0,3,8,6,3,2
321,male,18,2,3,0,5,1,1,0,3
322,male,15,8,8,6,4,9,6,4,3
323,female,16,1,1,1,1,1,2,0,1
324,female,3,5,1,7,2,9,0,3,1
325,male,1,11,2,1,4,4,1,0,3
326,male,18,1,7,3,1,5,2,2,1
327,male,19,4,1,2,0,6,1,3,1
328,female,3,11,8,7,3,1,2,1,1
329,female,15,9,4,5,5,5,1,1,1
330,female,5,9,0,6,2,1,4,3,2
331,female,17,7,4,6,0,0,3,1,1
332,female,0,1,7,4,1,8,6,4,2
333,female,5,8,7,0,2,4,1,0,0
334,male,1,1,6,4,0,3,6,0,3
335,male,12,1,6,2,5,2,4,3,3
336,male,2,3,6,1,7,7,1,1,3
337,male,12,6,7,3,1,1,3,0,2
338,female,1,10,0,0,1,6,0,4,3
339,male,2,6,0,1,3,4,2,0,2
340,male,14,1,7,3,4,6,3,0,1
341,male,16,1,5,3,3,2,1,2,3
342,male,3,5,5,1,2,0,5,1,3
343,male,6,9,5,4,1,3,3,0,2
344,female,14,2,7,4,0,4,6,4,0
345,male,19,3,6,3,6,3,0,1,2
346,male,16,10,0,2,6,9,3,0,0
347,female,17,5,2,7,2,3,5,4,2
348,female,2,11,9,0,4,1,0,1,0
349,female,10,4,8,2,3,6,1,1,3
350,male,8,4,1,5,3,5,0,0,0
351,male,18,2,0,4,1,7,2,2,2
352,male,10,0,2,7,3,1,6,1,2
353,female,17,2,9,7,7,5,1,3,3
354,female,3,8,3,2,3,7,1,2,1
355,female,12,5,4,2,7,1,6,1,0
356,female,3,1,9,2,4,1,1,3,0
357,female,12,2,8,7,6,4,1,2,0
358,female,12,7,1,4,6,5,4,1,1
359,male,7,9,5,0,4,9,4,3,0
360,male,6,4,2,0,6,7,3,2,3
361,male,19,4,3,1,7,3,6,2,2
362,female,14,10,6,3,3,6,4,2,3
363,male,8,1,4,3,7,4,2,0,3
364,male,17,10,6,4,1,2,4,2,3
365,male,6,8,9,7,1,1,5,1,1
366,female,2,10,0,6,3,7,1,3,0
367,male,2,9,4,7,7,9,6,1,2
368,male,5,10,4,0,1,1,4,0,0
369,male,5,9,1,2,1,8,6,1,1
370,female,6,3,5,6,6,3,1,3,0
371,male,12,0,5,2,1,9,2,0,2
372,female,16,1,4,5,2,9,4,2,0
373,male,9,7,4,1,5,8,3,4,2
374,female,2,4,6,6,5,3,4,0,2
375,female,10,7,3,1,5,6,1,3,2
376,male,15,11,1,3,2,0,3,1,1
377,male,9,6,6,7,6,4,4,3,0
378,female,19,10,5,3,2,3,0,4,3
379,female,15,4,9,2,3,5,0,3,2
380,male,0,0,1,1,3,7,6,4,0
381,male,12,9,7,5,7,0,5,0,3
382,female,13,10,0,1,5,6,0,1,3
383,male,1,8,3,6,2,0,3,2,1
384,male,17,2,5,6,2,8,2,1,3
385,female,14,2,1,4,3,8,0,0,3
386,male,1,6,3,3,2,5,0,4,0
387,female,7,10,1,6,0,8,6,0,3
388,female,6,1,9,3,7,3,4,1,3
389,male,19,1,5,1,4,4,0,3,0
390,female,13,6,8,4,5,9,6,0,2
391,female,8,11,8,3,6,5,3,2,2
392,female,18,8,1,6,7,5,4,1,1
393,male,0,4,9,2,7,4,3,0,1
394,female,18,1,5,5,5,0,3,1,3
395,female,15,8,6,4,0,9,1,0,1
396,male,18,8,4,6,5,6,3,3,1
397,male,6,3,0,7,7,3,5,2,0
398,male,19,1,7,0,3,6,0,4,1
399,male,5,2,5,3,6,2,5,2,3
400,female,17,6,2,4,6,1,0,0,3
401,male,0,9,6,6,0,4,1,3,2
402,male,14,1,5,2,4,8,6,1,0
403,male,17,6,0,1,4,8,3,0,1
404,female,0,10,0,0,5,9,1,1,1
405,male,10,2,6,0,4,8,3,2,1
406,male,19,8,0,3,0,7,0,4,3
407,male,15,0,6,0,5,3,2,1,1
408,male,10,10,8,6,1,8,3,1,0
409,male,11,2,5,2,0,8,4,0,2
410,male,9,6,9,4,5,3,3,3,3
411,female,5,0,2,7,4,5,3,3,1
412,female,7,2,8,7,4,3,6,2,0
413,male,2,6,7,7,1,0,0,2,1
414,male,17,11,0,5,6,1,2,2,2
415,male,1,6,1,1,7,2,6,0,0
416,female,2,6,7,2,0,8,4,0,0
417,female,1,6,7,6,0,4,4,1,2
418,male,8,0,2,0,0,7,3,0,1
419,male,6,8,8,4,4,5,5,2,2
420,female,19,4,5,5,5,7,0,3,3
421,male,13,7,2,7,1,8,0,0,0
422,female,0,9,2,7,1,1,6,2,0
423,female,13,4,5,1,1,8,4,2,1
424,female,14,3,9,4,0,5,2,1,2
425,male,19,3,8,6,5,3,6,0,1
426,female,17,0,1,2,3,5,6,4,2
427,male,16,8,2,5,5,0,5,0,3
428,male,10,7,2,3,5,1,4,2,1
429,female,12,5,5,2,4,4,4,4,1
430,male,18,5,3,5,1,1,1,4,0
431,male,2,5,2,2,1,2,3,3,1
432,male,8,2,9,0,6,5,1,3,3
433,male,7,9,2,2,3,7,2,1,0
434,male,16,6,0,5,1,5,6,0,0
435,male,17,7,7,4,7,4,2,3,2
436,female,15,9,8,5,6,9,0,4,3
437,female,5,5,3,5,7,1,3,3,2
438,female,4,6,3,1,5,5,1,3,0
439,male,6,1,7,1,0,5,3,4,3
440,female,17,5,1,3,3,3,6,3,0
441,female,6,5,4,4,3,1,4,4,2
442,female,12,2,3,6,0,6,4,1,3
443,male,1,9,5,5,6,2,5,4,2
444,female,2,11,0,5,2,9,2,3,1
445,male,3,4,3,0,3,4,6,0,1
446,female,7,11,3,4,1,8,3,4,0
447,female,4,0,5,0,5,0,5,2,3
448,male,9,1,7,1,2,2,6,4,2
449,female,7,2,1,1,1,7,1,2,1
450,male,0,11,9,0,2,0,2,0,1
451,female,7,9,9,7,1,8,3,1,2
452,female,18,3,1,3,7,0,5,1,2
453,female,5,0,6,5,7,0,6,0,1
454,female,16,11,1,2,4,7,0,2,3
455,male,14,0,5,3,1,7,5,2,0
456,male,6,9,5,3,6,6,6,4,3
457,female,14,9,9,5,3,3,5,3,1
458,female,3,1,6,1,0,6,0,4,0
459,female,17,3,2,7,5,5,6,4,1
460,male,3,3,1,2,2,1,6,3,1
461,male,3,8,0,2,4,2,3,1,3
462,female,18,0,5,0,7,7,5,2,2
463,male,4,4,7,4,0,1,5,1,0
464,male,6,11,0,0,3,8,5,4,2
465,male,13,2,9,1,5,6,1,0,1
466,female,13,4,2,2,2,8,4,0,1
467,male,0,1,1,1,6,8,2,2,0
468,male,18,2,5,3,4,6,1,1,0
469,female,14,11,6,6,5,2,6,3,3
470,male,9,3,1,2,6,2,1,2,2
471,male,4,5,9,4,1,8,4,1,1
472,male,5,3,3,1,3,2,6,2,3
473,female,2,11,0,4,4,5,2,3,1
474,female,14,0,4,0,5,4,5,1,2
475,male,19,3,5,1,4,3,5,4,3
476,female,18,1,1,6,6,9,5,1,2
477,female,6,0,1,6,0,4,4,0,3
478,female,13,11,3,0,3,0,0,0,1
479,male,8,6,7,3,3,8,4,0,1
480,female,7,7,4,5,0,1,4,2,3
481,male,1,4,9,1,1,6,0,4,0
482,male,2,11,9,4,5,5,4,4,0
483,male,14,6,4,0,2,6,5,2,3
484,male,0,6,9,4,2,5,5,2,3
485,male,2,6,5,1,6,7,1,2,2
486,female,9,10,2,6,5,9,3,3,1
487,female,6,8,5,6,6,1,0,0,0
488,female,0,8,7,3,6,2,6,3,0
489,female,0,7,0,7,2,7,4,1,3
490,male,19,7,5,3,5,7,0,4,2
491,male,9,7,3,3,2,9,2,0,0
492,male,17,5,6,7,2,8,1,4,1
493,male,17,2,4,0,0,3,1,3,1
494,male,12,6,9,4,2,6,0,4,0
495,female,12,8,2,2,0,0,5,4,0
496,male,15,8,5,2,1,6,1,3,2
497,female,0,5,7,2,0,4,6,4,3
498,female,6,4,8,0,4,6,6,4,0
499,female,17,11,6,2,5,3,4,0,2
500,female,9,9,8,2,2,5,3,1,3
501,male,1,11,1,0,7,5,3,1,1
502,female,8,9,1,2,2,3,2,0,2
503,male,9,2,3,4,1,1,5,2,3
504,male,3,5,2,4,6,4,5,4,2
505,male,10,11,0,3,2,1,3,4,2
506,male,11,4,0,0,3,8,1,3,1
507,female,16,10,9,4,5,8,6,2,2
508,female,8,7,9,6,2,6,1,3,3
509,male,10,0,3,5,7,1,5,2,2
510,female,15,0,4,0,5,6,3,1,3
511,male,10,7,4,3,3,8,6,1,0
512,male,8,2,7,3,3,6,5,2,0
513,male,13,1,3,2,0,4,2,2,2
514,male,5,4,8,6,0,3,3,3,1
515,male,10,7,4,1,5,9,3,4,2
516,female,19,11,0,6,2,4,6,2,1
517,male,12,3,3,0,1,3,1,2,3
518,female,3,9,8,3,0,9,2,3,3
519,male,3,8,7,0,3,0,3,1,1
520,female,16,7,8,1,2,1,3,3,1
521,male,11,3,0,2,1,4,1,1,3
522,female,11,9,5,7,2,1,5,1,0
523,female,2,4,3,7,6,5,0,3,0
524,male,8,7,9,2,2,5,3,1,0
525,female,2,5,5,2,1,9,4,1,0
526,female,2,7,6,7,0,5,1,4,1
527,male,14,1,6,3,6,8,2,2,3
528,male,7,0,4,1,0,5,0,0,2
529,female,10,6,3,1,6,8,1,4,3
530,male,12,5,2,2,7,7,1,2,3
531,male,7,8,2,2,0,4,5,1,3
532,male,16,1,6,2,5,7,3,4,1
533,male,12,1,3,0,6,8,5,0,3
534,female,17,2,9,5,6,4,6,0,3
535,female,1,2,7,7,3,8,1,3,3
536,male,3,11,0,6,7,2,4,4,0
537,male,1,5,2,0,5,2,6,0,3
538,male,15,8,3,6,5,9,4,1,3
539,male,8,1,1,7,3,0,0,4,2
540,female,5,9,7,1,5,8,2,2,2
541,female,3,8,7,7,0,4,2,4,2
542,female,18,4,9,1,5,5,5,4,0
543,male,18,1,4,3,2,3,3,0,0
544,male,6,0,3,1,5,7,5,1,0
545,female,7,2,3,1,2,4,0,3,3
546,male,3,7,1,2,2,5,0,1,0
547,male,1,7,0,0,1,4,5,0,1
548,female,10,4,5,1,2,6,2,0,2
549,female,11,9,8,5,6,1,4,4,0
550,male,12,10,5,7,6,5,2,0,3
551,male,10,6,7,5,1,3,6,0,0
552,male,0,9,1,1,1,5,1,3,1
553,male,3,10,5,4,7,4,6,0,3
554,female,11,5,7,1,3,9,1,2,2
555,male,17,11,7,7,5,2,1,4,3
556,male,14,6,5,5,5,4,1,1,0
557,male,9,5,7,7,3,7,3,0,2
558,female,11,8,0,2,3,3,4,2,1
559,female,5,9,8,6,4,4,5,0,0
560,male,0,4,1,4,2,9,1,4,3
561,male,1,5,3,3,6,0,6,1,1
562,female,19,6,5,1,3,2,3,1,2
563,female,18,2,8,1,0,2,0,2,1
564,male,16,9,4,5,6,5,1,4,2
565,male,19,8,8,5,7,4,3,3,0
566,male,0,5,2,4,7,4,1,4,1
567,male,4,6,4,0,5,9,2,0,0
568,female,11,0,4,2,5,8,3,3,1
569,female,2,11,2,7,1,7,0,0,0
570,female,2,10,6,6,7,4,4,2,1
571,female,3,9,9,1,7,6,0,4,2
572,male,16,10,8,4,6,0,2,4,3
573,male,8,0,2,0,6,0,5,2,1
574,female,11,8,5,6,3,4,0,3,3
575,female,3,9,1,2,1,1,5,1,3
576,female,3,1,6,1,3,3,5,2,1
577,female,10,6,8,4,7,0,3,2,1
578,male,7,7,1,0,1,4,3,1,3
579,male,7,7,3,7,2,0,3,2,1
580,male,5,4,6,0,3,8,6,3,3
581,male,19,9,8,3,1,2,1,4,1
582,male,1,1,5,7,4,3,3,3,0
583,female,4,2,9,5,4,8,4,0,1
584,female,1,8,9,2,3,5,3,2,2
585,female,15,2,5,4,3,8,1,2,0
586,female,6,5,4,7,3,9,0,2,0
587,male,18,10,5,1,5,9,1,0,1
588,female,1,5,2,6,4,6,6,1,0
589,female,13,11,1,4,7,2,5,2,3
590,female,8,0,1,0,6,7,3,1,2
591,female,12,2,2,1,4,0,4,3,2
592,male,7,7,9,1,3,3,1,3,1
593,male,13,9,1,6,7,2,6,1,1
594,female,9,1,4,0,2,1,3,3,2
595,female,14,8,9,7,4,7,0,3,1
596,male,0,7,9,4,0,3,3,4,2
597,female,13,4,8,0,1,1,4,3,2
598,female,13,4,0,2,7,9,4,4,3
599,male,17,8,4,7,4,4,3,1,0
600,female,2,3,1,1,4,2,6,4,2
601,female,13,10,1,5,4,0,2,0,0
602,female,2,8,3,1,5,1,4,2,0
603,female,13,5,3,2,4,7,6,3,2
604,male,2,8,2,3,4,5,4,1,3
605,male,17,3,7,0,2,9,0,1,3
606,male,0,11,5,0,0,6,1,4,1
607,female,0,1,8,1,5,6,6,2,3
608,female,19,10,1,2,5,2,6,0,1
609,female,4,6,3,4,7,6,0,3,2
610,female,11,11,5,3,2,6,4,3,0
611,male,8,4,9,6,1,7,5,0,3
612,female,3,6,1,0,6,0,3,3,0
613,male,9,4,0,1,0,2,0,0,0
614,female,7,1,5,3,5,0,0,0,2
615,male,3,10,6,3,7,7,0,1,3
616,male,5,10,5,7,3,7,3,0,1
617,female,5,5,8,4,1,4,6,3,3
618,female,10,8,2,6,5,9,5,2,3
619,male,13,0,5,4,1,0,1,4,0
620,male,15,7,1,4,7,6,6,0,2
621,male,5,5,5,0,0,7,1,3,2
622,male,17,11,1,0,7,7,6,1,3
623,male,9,8,4,1,4,2,2,0,3
624,female,5,3,8,7,1,0,6,0,0
625,female,11,10,8,2,4,0,2,3,1
626,female,0,9,7,3,4,5,2,0,0
627,male,0,8,5,6,5,8,4,3,0
628,female,14,8,0,4,3,6,0,3,3
629,male,2,9,0,1,0,5,5,1,2
630,female,11,9,3,3,7,6,3,0,3
631,male,17,3,1,5,2,2,1,2,3
