TID,Sex,Price,Category,Color,Size,Brand,Material,Origin,Sales_channel,Season,s/n
122,0,12,0,0,4,2,7,2,1,1,1
123,0,8,10,1,1,6,2,1,3,3,0
124,0,14,11,9,1,0,0,0,0,2,0
125,1,13,6,9,4,4,4,0,3,3,0
126,0,4,6,7,6,3,6,1,1,2,0
127,0,19,2,7,6,0,3,4,1,2,0
128,0,8,7,6,0,1,1,2,4,2,0
129,1,0,6,4,7,4,0,3,2,2,1
130,0,15,6,6,6,5,1,5,1,1,1
131,1,14,7,6,7,0,8,3,3,3,0
132,0,10,9,4,1,4,6,1,2,2,0
133,1,18,9,3,7,3,5,5,0,2,0
134,1,10,7,9,2,0,7,6,0,0,1
135,0,0,7,2,5,2,9,6,1,0,1
136,0,5,8,7,1,4,6,1,2,0,0
137,0,11,2,3,6,4,6,5,4,2,1
138,1,19,3,1,2,7,0,3,3,1,0
139,1,6,3,9,2,2,1,0,4,1,0
140,0,0,10,8,7,1,7,5,1,1,1
141,1,5,5,7,4,5,0,6,4,3,1
142,0,7,8,2,1,7,6,0,3,0,1
143,0,16,10,3,3,5,6,2,1,2,0
144,0,6,5,1,0,5,0,1,1,3,0
145,0,5,3,3,1,6,1,6,0,0,0
146,1,6,1,4,6,1,1,4,0,3,0
147,0,9,11,8,5,2,3,3,2,3,0
148,1,10,11,3,3,0,1,1,2,2,1
149,1,5,5,5,7,0,3,4,0,2,1
150,1,3,5,4,5,4,0,1,3,2,1
151,1,16,5,9,7,0,7,2,3,3,1
152,0,19,8,5,6,6,2,6,0,2,0
153,1,10,1,7,3,7,6,6,1,3,1
154,0,14,2,4,2,3,2,6,1,1,1
155,0,1,1,2,3,5,0,1,3,3,1
156,1,4,9,5,4,5,6,2,2,2,0
157,0,16,11,4,4,1,8,5,3,0,1
158,1,4,7,7,6,7,7,0,2,1,0
159,0,9,4,6,6,5,5,3,4,2,0
160,0,13,0,6,2,1,8,4,0,2,1
161,0,8,11,0,7,7,9,1,1,3,1
162,1,15,11,9,5,2,1,3,1,1,1
163,1,12,4,5,6,5,8,2,3,2,0
164,1,1,5,2,0,0,1,4,2,0,1
165,1,2,6,7,3,5,4,2,2,1,0
166,0,7,4,6,0,2,9,6,1,1,0
167,1,2,3,6,6,7,0,4,0,1,0
168,0,4,8,8,4,0,6,4,4,1,0
169,1,1,2,0,6,5,4,0,3,0,1
170,0,2,3,5,6,5,2,0,3,3,1
171,1,2,4,4,1,7,4,3,0,0,0
172,1,2,5,6,5,1,1,1,4,2,1
173,0,17,9,2,7,0,1,1,2,0,0
174,0,18,10,9,0,4,8,2,0,2,0
175,0,5,4,7,4,6,3,3,1,2,0
176,1,12,7,4,6,0,5,3,1,2,0
177,0,10,5,6,2,6,9,0,1,3,1
178,1,11,9,4,5,1,6,2,3,1,0
179,0,7,3,8,3,2,5,6,4,2,0
180,1,0,3,6,0,1,4,1,4,1,1
181,0,18,3,0,5,5,5,0,2,0,0
182,1,19,4,8,4,0,2,4,2,0,1
183,0,18,6,5,3,6,1,5,4,3,1
184,1,15,6,7,7,6,0,4,4,1,1
185,0,12,9,1,7,3,7,0,4,1,1
186,0,0,9,2,5,5,6,6,2,0,1
187,1,1,11,3,6,4,9,2,2,1,1
188,0,1,7,2,1,4,0,6,3,1,1
189,0,1,1,6,4,5,7,0,0,3,1
190,1,18,10,0,5,3,0,4,2,2,0
191,0,17,2,7,0,7,0,4,2,0,1
192,1,3,2,8,2,3,5,4,2,3,1
193,0,1,3,2,3,7,0,3,1,2,1
194,1,0,11,0,5,4,3,1,3,2,1
195,0,6,7,5,2,7,3,1,0,2,1
196,1,3,5,0,7,7,5,5,2,3,1
197,1,8,9,9,1,2,9,2,3,2,0
198,1,4,0,9,5,4,6,3,2,1,0
199,0,2,6,1,0,7,5,3,0,0,1
200,0,18,8,2,5,0,1,1,2,3,0
201,1,5,5,4,2,7,2,4,3,1,1
202,1,2,1,0,0,3,8,6,4,1,1
203,1,14,11,4,1,6,6,3,0,3,1
204,1,17,4,7,7,2,4,3,1,3,0
205,1,4,1,3,5,2,2,0,1,1,0
206,1,18,9,8,0,7,0,2,3,3,1
207,1,6,0,3,2,4,8,3,3,1,0
208,0,1,5,1,7,2,0,3,2,2,1
209,1,5,9,5,1,2,5,1,4,2,0
210,0,16,10,5,1,2,0,2,4,3,0
211,1,2,9,9,4,6,3,2,0,0,1
212,0,14,6,1,4,3,2,3,4,3,0
213,1,9,0,4,5,1,1,1,4,0,0
214,0,8,0,2,4,5,4,4,2,0,0
215,1,17,6,7,2,1,4,1,1,2,0
216,0,6,5,4,1,3,8,6,2,2,0
217,1,11,0,7,5,2,5,2,4,0,0
218,1,4,9,3,4,7,4,3,1,2,0
219,0,0,11,8,3,7,9,4,0,2,1
220,1,0,6,4,1,0,3,2,2,1,1
221,1,6,7,8,0,5,0,0,3,1,1
222,0,14,7,5,3,2,9,6,3,2,0
223,0,6,6,8,4,2,7,0,4,2,1
224,0,6,0,2,0,5,4,4,1,3,0
225,1,18,8,9,6,1,1,4,2,3,0
226,0,2,3,5,3,0,3,4,0,3,1
227,0,5,1,2,7,7,7,1,0,0,1
228,0,13,2,2,5,1,6,2,4,0,0
229,1,5,11,3,2,6,6,3,4,3,1
230,0,2,1,8,5,6,0,3,3,0,1
231,0,18,6,9,0,4,8,6,4,0,0
232,0,16,3,4,6,3,2,4,4,2,0
233,0,6,5,1,5,2,2,5,2,1,1
234,1,7,6,6,2,0,0,2,4,0,0
235,1,5,8,7,1,7,8,6,3,0,1
236,0,17,7,8,0,6,2,4,3,2,0
237,0,4,8,3,6,1,4,5,4,2,1
238,1,0,7,0,5,2,7,2,0,2,1
239,0,18,0,7,1,6,7,4,0,1,1
240,0,8,6,7,6,2,8,4,3,0,0
241,1,11,2,7,1,4,0,4,0,3,0
242,0,16,10,7,1,3,7,5,0,3,1
243,1,7,6,1,6,5,6,4,0,2,0
244,1,16,6,9,4,1,0,0,2,2,0
245,0,8,0,4,3,5,4,1,4,0,0
246,0,17,9,2,4,2,2,4,0,0,0
247,0,15,6,2,7,4,6,0,2,0,0
248,0,9,0,6,1,0,7,1,3,3,1
249,0,9,4,6,6,2,6,3,4,1,0
250,0,15,9,9,3,5,7,5,3,1,1
251,0,1,1,5,0,4,6,5,2,0,1
252,0,6,1,4,7,0,7,6,4,2,1
253,0,4,8,9,3,4,5,6,4,1,0
254,1,12,11,4,7,2,6,2,2,3,1
255,1,10,1,2,0,1,4,6,1,0,1
256,1,2,10,7,2,6,2,5,2,1,1
257,0,9,0,3,6,1,4,3,3,1,0
258,1,10,3,3,0,1,3,3,0,3,1
259,1,3,6,7,3,7,0,2,0,3,0
260,0,14,0,9,4,4,4,5,0,1,1
261,1,11,0,2,3,1,7,6,2,0,1
262,0,3,2,5,4,3,5,1,3,2,0
263,0,3,6,3,1,3,9,3,0,1,0
264,0,14,10,5,1,1,7,3,1,2,1
265,0,8,1,8,5,5,2,3,4,1,1
266,0,5,2,0,3,0,7,3,4,2,1
267,0,1,5,3,4,6,3,5,0,1,1
268,0,11,5,8,3,4,7,4,1,1,1
269,0,0,5,5,2,3,7,5,4,2,1
270,1,1,4,2,6,6,8,5,4,2,1
271,0,7,11,9,0,0,0,1,3,2,0
272,1,16,9,8,0,6,4,6,3,2,1
273,0,14,3,6,5,4,6,0,3,0,0
274,1,12,6,8,1,0,0,4,3,1,1
275,1,16,1,1,7,6,6,1,1,3,1
276,0,1,6,1,1,1,0,1,1,2,1
277,1,4,8,8,4,3,1,6,0,2,1
278,1,5,3,0,7,1,1,1,3,2,0
279,0,0,7,4,3,7,2,2,4,1,1
280,1,1,3,5,7,1,1,6,2,1,1
281,0,18,11,5,3,0,6,2,4,3,0
282,1,18,2,4,4,1,1,6,1,3,1
283,1,15,9,9,4,7,9,5,0,2,0
284,0,6,7,5,0,6,5,1,3,1,0
285,0,6,2,5,5,3,5,2,4,0,0
286,1,5,1,9,4,6,1,6,2,0,1
287,1,4,1,6,6,4,8,2,0,0,0
288,1,13,3,0,5,5,2,1,2,1,0
289,0,12,9,6,0,6,0,2,2,0,0
290,0,15,9,2,7,2,3,3,2,0,0
291,0,15,8,7,6,1,9,6,4,0,0
292,0,1,0,8,0,3,9,3,3,0,1
293,0,1,0,2,4,6,2,2,1,2,1
294,0,1,10,9,7,1,7,5,2,1,1
295,0,4,10,9,6,6,1,5,4,3,1
296,0,12,6,2,2,0,1,6,3,0,1
297,0,18,1,3,0,0,4,4,3,1,1
298,1,7,2,2,2,6,5,5,0,0,1
299,1,19,3,4,3,1,9,1,2,1,0
300,1,19,2,7,1,5,5,2,0,1,0
301,0,14,0,7,6,7,3,4,1,0,1
302,1,2,7,1,5,4,5,4,4,2,0
303,0,1,5,8,5,1,6,1,0,1,1
304,0,1,3,5,0,2,4,5,1,2,1
305,1,8,2,8,0,4,0,5,1,2,1
306,0,0,7,3,4,1,0,5,4,0,1
307,1,13,11,5,1,1,6,6,2,0,1
308,0,8,9,7,3,1,6,4,0,1,0
309,1,16,8,2,5,6,3,4,3,0,1
310,0,17,8,8,2,3,8,1,0,2,1
311,1,19,11,9,1,3,1,5,3,1,1
312,1,7,4,5,0,0,9,5,2,0,1
313,0,2,1,2,6,1,1,5,3,3,1
314,1,11,0,8,2,2,3,5,3,2,1
315,0,10,3,0,0,3,2,1,0,1,0
316,0,13,3,6,2,5,4,5,0,3,1
317,0,1,5,3,0,3,4,1,4,0,1
318,1,13,8,7,6,5,6,6,2,2,1
319,1,3,10,9,2,0,5,2,2,1,0
320,0,12,9,4,3,4,8,2,3,3,0
321,1,16,8,2,4,5,7,0,3,1,0
322,0,5,6,0,4,2,5,4,1,0,0
323,1,15,2,9,2,1,2,1,1,0,0
324,1,5,7,1,0,2,8,5,3,1,1
325,1,19,10,8,7,3,5,0,2,0,1
326,1,18,4,6,7,6,8,5,2,0,1
327,0,10,2,6,6,6,7,3,1,3,1
328,0,19,10,1,1,1,8,6,2,0,0
329,0,11,7,9,5,0,0,6,4,0,0
330,0,1,11,5,5,7,6,5,1,3,1
331,1,5,6,4,7,5,9,1,4,3,0
332,1,7,4,9,2,3,8,3,4,2,0
333,1,9,9,8,5,4,3,2,4,1,1
334,1,6,7,7,4,6,6,1,0,2,1
335,1,12,7,3,2,6,3,2,4,1,1
336,0,4,4,8,3,7,9,3,3,3,1
337,1,13,5,0,0,1,4,2,0,1,1
338,0,7,4,2,0,2,8,6,2,0,0
339,0,2,11,9,4,7,1,3,1,2,1
340,1,2,8,4,5,7,6,1,0,3,0
341,1,18,7,3,7,1,0,6,1,2,1
342,0,17,11,2,6,7,8,0,1,0,1
343,0,13,10,7,5,0,1,1,3,0,0
344,1,17,4,2,4,1,4,0,0,1,0
345,1,9,2,3,5,2,1,1,1,1,0
346,1,8,7,7,0,7,8,0,0,3,1
347,0,6,4,6,7,1,6,5,3,0,1
348,1,10,2,5,0,1,6,0,2,2,1
349,0,11,6,2,3,4,7,3,2,1,1
350,1,14,3,3,6,7,4,3,2,0,0
351,0,19,0,9,2,1,4,3,2,1,1
352,1,17,10,5,2,3,7,5,0,2,0
353,1,0,0,1,7,2,6,1,2,0,1
354,0,12,3,1,7,4,6,3,1,2,0
355,0,16,2,5,7,7,6,4,0,3,1
356,0,5,3,6,4,7,9,3,0,2,1
357,1,0,1,5,2,2,9,5,2,3,1
358,0,15,9,7,5,6,0,1,1,1,0
359,1,11,2,5,2,6,5,2,1,2,1
360,1,10,1,2,6,2,5,4,2,3,0
361,1,0,9,1,3,7,3,1,4,1,1
362,0,8,6,0,1,5,6,6,1,2,0
363,0,1,11,6,1,3,8,5,2,0,1
364,0,17,10,9,4,0,0,3,3,1,0
365,0,15,11,7,0,5,2,2,4,2,0
366,1,18,9,6,1,4,8,6,2,0,1
367,0,15,9,8,1,0,1,6,1,1,0
368,0,9,1,3,1,4,7,4,3,3,1
369,1,18,2,6,3,3,3,4,4,2,0
370,1,16,1,0,0,4,9,6,3,0,1
371,1,13,8,1,4,3,1,5,0,0,0
372,0,13,8,9,6,2,0,5,0,1,1
373,1,11,4,0,7,1,8,4,1,2,0
374,1,1,3,7,7,2,8,6,3,0,1
375,1,0,11,8,3,2,7,3,4,3,1
376,1,3,3,8,5,6,6,1,4,0,1
377,0,1,7,7,0,0,3,3,1,1,1
378,1,6,3,0,2,7,6,4,3,2,0
379,0,1,1,6,3,0,0,3,2,0,1
380,1,12,8,2,0,7,2,1,2,2,1
381,1,3,2,1,4,4,6,6,4,1,1
382,0,7,10,3,1,5,7,4,2,0,1
383,0,10,7,7,3,4,6,6,2,2,0
384,0,5,2,0,5,0,2,2,4,0,0
385,0,0,10,3,3,7,5,6,0,1,1
386,0,19,3,7,4,3,1,1,1,2,0
387,0,15,3,7,5,2,8,0,2,1,0
388,0,6,2,8,0,6,8,4,2,3,0
389,1,18,7,2,4,3,7,4,0,0,0
390,1,9,4,4,6,1,1,5,0,1,0
391,1,3,10,4,0,3,2,1,3,3,1
392,1,12,0,3,5,0,7,6,1,1,1
393,0,13,6,2,2,1,7,2,0,1,1
394,1,3,7,9,5,1,2,0,2,0,0
395,1,3,3,6,6,1,1,4,4,3,0
396,1,19,1,2,1,7,2,0,1,1,0
397,0,8,1,7,4,7,1,3,3,1,1
398,0,19,4,2,2,6,9,2,0,0,1
399,0,18,1,8,2,4,0,1,3,3,1
400,0,5,0,4,4,5,5,2,3,3,0
401,1,4,7,1,5,2,5,2,3,2,0
402,1,14,11,9,5,6,6,0,2,3,1
403,1,4,5,6,1,2,2,5,2,0,1
404,1,10,1,0,4,2,8,5,4,3,0
405,1,6,10,9,0,4,2,0,4,3,1
406,1,11,8,1,1,5,3,4,1,3,0
407,0,10,3,9,3,7,1,1,0,2,1
408,1,14,0,5,5,2,9,3,4,0,0
409,0,18,0,7,3,0,4,1,0,3,0
410,1,8,11,8,7,2,8,4,3,2,1
411,0,1,3,1,0,1,1,3,0,1,1
412,1,1,10,9,6,3,3,1,1,0,1
413,0,17,2,3,7,5,2,2,0,0,0
414,0,18,9,7,5,2,9,2,0,0,0
415,1,19,8,3,1,5,0,2,3,0,0
416,1,8,5,7,6,3,7,3,2,0,1
417,1,6,9,2,5,0,0,6,0,1,1
418,1,16,10,1,5,5,9,3,0,1,0
419,0,3,7,6,5,3,1,6,1,3,0
420,1,19,1,5,4,6,6,3,4,3,1
421,0,2,6,6,6,4,6,1,2,3,1
422,0,11,3,9,0,7,8,1,3,2,1
423,1,9,10,2,5,6,8,3,0,0,1
424,0,16,4,8,2,7,6,5,4,0,1
425,1,6,9,3,1,5,4,0,4,2,0
426,1,1,7,0,0,6,2,5,2,1,1
427,1,16,6,0,3,2,6,0,3,1,0
428,1,14,7,5,1,6,0,2,1,1,1
429,0,0,9,9,0,2,8,6,2,3,1
430,1,1,4,7,6,2,9,0,3,1,1
431,0,14,10,9,3,7,2,6,1,1,1
432,1,4,3,8,0,6,2,2,3,2,1
433,1,10,3,6,5,5,6,5,1,2,0
434,1,6,5,1,1,4,3,5,2,2,1
435,0,3,5,8,5,1,3,5,3,0,1
436,1,18,2,4,0,0,1,1,2,1,1
437,1,4,0,9,1,2,3,2,4,1,0
438,1,13,4,7,2,0,6,1,2,3,0
439,0,6,8,9,0,3,0,5,1,1,1
440,0,2,2,1,6,4,6,2,1,0,1
441,0,13,1,2,4,4,8,3,3,0,1
442,0,19,3,5,2,2,6,1,4,0,1
443,1,12,4,0,0,4,8,0,1,3,1
444,1,0,3,8,6,5,9,4,3,2,1
445,0,6,2,5,2,0,7,5,1,2,1
446,0,12,1,9,3,0,7,6,3,0,1
447,0,19,5,0,5,5,7,5,4,2,1
448,0,4,4,3,6,2,3,6,2,2,0
449,0,11,4,8,7,1,6,0,1,1,0
450,1,6,1,6,3,5,4,6,4,0,1
451,0,9,8,8,1,5,9,1,0,1,0
452,0,13,1,3,4,5,8,6,4,1,1
453,1,12,10,7,7,1,0,1,0,1,0
454,0,8,10,6,5,1,8,1,1,2,0
455,1,16,5,0,1,6,7,4,0,2,1
456,1,15,2,3,2,5,1,5,2,2,0
457,0,6,10,3,3,1,9,5,1,3,1
458,0,10,0,4,6,6,2,3,4,1,0
459,1,0,8,0,2,3,1,0,1,0,1
460,0,8,6,1,7,1,7,3,2,1,1
461,0,19,6,5,6,6,8,2,0,3,0
462,0,18,8,4,4,6,8,3,2,3,0
463,0,0,4,3,6,3,4,4,3,0,1
464,0,1,5,8,3,0,1,4,1,2,1
465,1,5,10,7,4,0,9,4,3,2,0
466,1,13,2,8,2,6,9,5,1,0,1
467,0,14,0,0,5,3,9,2,3,1,0
468,1,8,0,5,6,3,9,5,2,0,0
469,0,12,10,8,3,2,7,6,1,2,1
470,1,18,5,5,4,7,4,0,4,0,1
471,1,7,1,3,6,0,1,4,2,2,0
472,0,16,1,9,6,7,6,4,2,0,1
473,0,12,9,4,7,6,0,6,4,0,0
474,0,4,0,4,6,7,7,3,2,3,1
475,0,8,4,4,6,4,0,4,4,3,0
476,0,10,3,4,6,4,8,1,4,3,0
477,0,13,4,1,5,4,6,1,2,0,0
478,0,7,2,6,3,3,5,6,3,0,0
479,1,7,2,7,1,3,3,2,3,1,0
480,0,3,2,0,4,0,1,5,3,2,1
481,0,3,5,8,1,4,2,0,1,2,0
482,0,15,2,6,5,3,2,6,1,0,0
483,0,7,5,5,0,3,3,4,2,1,0
484,0,8,9,9,5,7,0,5,3,1,1
485,1,10,4,4,5,0,6,3,2,2,0
486,1,12,11,4,3,6,7,3,0,3,1
487,0,0,4,1,1,5,5,2,0,2,1
488,0,2,4,8,5,0,4,2,0,2,1
489,0,4,4,5,3,5,6,5,2,0,1
490,0,18,8,2,4,7,0,0,3,0,1
491,1,6,5,8,3,0,7,1,0,0,1
492,1,3,10,0,5,3,1,3,2,3,0
493,1,0,0,8,4,5,8,1,3,0,1
494,0,7,7,5,2,6,8,2,2,1,1
495,0,4,8,5,3,7,0,5,0,0,1
496,0,1,7,4,7,6,5,6,4,2,1
497,0,0,8,0,7,0,2,4,1,2,1
498,1,14,3,5,6,7,1,1,3,1,0
499,1,15,2,1,3,6,3,3,0,1,1
500,1,5,11,5,3,5,5,6,3,3,1
501,1,12,2,2,7,7,6,6,2,0,1
502,0,19,2,0,6,2,8,3,4,0,0
503,1,13,5,3,0,5,5,2,1,1,1
504,1,6,8,8,3,7,5,0,3,0,1
505,1,7,4,9,0,0,2,2,4,1,1
506,0,7,7,3,6,4,4,0,1,1,0
507,1,17,8,2,0,5,4,0,3,3,1
508,0,11,9,0,1,6,9,3,3,3,0
509,0,16,4,7,5,4,6,1,1,2,0
510,0,16,9,4,1,2,8,0,2,2,0
511,1,16,8,9,0,2,9,2,3,2,1
512,0,10,10,8,5,7,3,1,3,0,1
513,1,1,5,6,5,3,9,5,1,1,1
514,1,13,10,9,7,0,6,2,2,2,0
515,0,8,5,5,2,0,0,1,0,0,1
516,1,10,8,1,3,2,6,1,2,0,0
517,1,19,8,0,1,0,2,0,1,1,0
518,0,3,3,0,0,7,0,3,3,2,1
519,1,10,7,0,1,4,2,0,0,1,0
520,1,14,11,5,4,5,0,6,1,2,1
521,1,7,10,2,1,6,7,1,4,2,1
522,0,9,1,0,2,7,6,1,1,0,1
523,1,11,2,3,6,2,8,6,3,1,1
524,0,8,9,7,2,7,2,0,0,0,1
525,1,5,6,6,7,2,0,0,3,1,0
526,1,13,7,9,5,7,4,6,0,3,1
527,0,6,9,7,1,7,7,0,3,0,1
528,1,6,3,4,6,2,4,6,4,1,1
529,1,19,3,7,5,2,8,2,1,3,0
530,1,12,5,5,2,1,6,1,0,2,1
531,1,6,6,1,6,5,5,1,2,1,0
532,0,6,8,1,4,4,6,2,1,3,0
533,0,10,0,9,3,0,4,0,2,3,0
534,1,7,11,1,3,0,0,0,2,1,1
535,0,19,1,0,5,6,8,5,1,0,1
536,1,12,1,9,3,3,6,1,4,0,0
537,0,11,8,4,4,1,8,4,3,3,0
538,1,12,10,0,7,5,2,5,2,0,0
539,0,8,10,4,6,5,3,2,3,2,0
540,1,11,2,4,6,4,7,4,4,3,0
541,1,3,7,5,6,7,0,1,2,2,0
542,1,12,8,2,5,7,3,4,0,3,0
543,0,16,1,5,3,2,9,2,3,1,1
544,0,16,0,1,1,6,0,2,3,2,0
545,1,11,7,5,5,6,5,6,0,3,1
546,0,14,4,5,5,6,2,0,1,1,0
547,0,13,2,5,1,2,6,0,4,0,0
548,0,0,2,3,0,2,9,5,4,0,1
549,1,0,8,4,0,6,9,5,0,3,1
550,1,19,0,3,6,4,2,2,4,1,0
551,1,15,9,2,7,0,8,6,1,1,1
552,0,7,11,0,5,0,3,0,0,3,0
553,0,9,9,4,0,4,4,6,4,3,0
554,0,16,5,4,6,0,7,4,3,2,1
555,1,7,7,9,1,7,6,0,0,0,0
556,1,12,5,7,4,4,7,1,4,1,1
557,1,7,5,1,1,7,8,1,1,3,1
558,0,19,4,1,5,5,4,1,0,1,0
559,0,8,2,4,1,6,4,1,2,0,0
560,0,2,11,7,2,0,1,1,4,3,1
561,1,0,11,6,7,0,1,4,2,2,1
562,0,17,2,9,1,2,9,1,0,2,0
563,1,5,7,0,1,3,4,1,2,0,0
564,0,3,1,7,2,6,2,0,3,2,1
565,1,0,10,7,3,1,4,0,2,1,1
566,0,13,1,8,3,7,5,3,0,2,1
567,0,6,5,9,3,3,6,6,2,2,0
568,1,5,11,0,3,0,5,0,3,0,1
569,1,17,7,1,2,0,0,2,0,2,0
570,1,13,1,5,7,6,7,5,4,2,1
571,0,16,6,3,4,6,3,3,0,0,0
572,0,19,10,0,6,1,6,5,1,2,1
573,0,16,9,9,0,0,8,4,2,3,0
574,1,2,9,0,2,6,7,5,2,0,1
575,0,16,9,9,7,5,3,6,3,3,0
576,0,15,4,7,3,5,7,6,4,3,1
577,0,11,7,7,3,7,6,5,2,1,1
578,0,10,5,8,3,7,2,3,0,2,1
